Crater name ,Interior volume
Flammarion,5292.12
Trumpler,5290.51
Nassau,5231.34
Cantor,5218.59
Chauvenet J,5215.41
Plummer,5215.41
De Sitter M,5186.81
Backlund,5177.29
Licetus,5170.96
Boussingault A,5167.79
Necho P,5153.55
McLaughlin,5150.39
Berosus,5142.49
Sharonov,5123.57
Razumov,5117.27
Rozhdestvenskiy W,5098.39
Waterman,5090.54
Condorcet,5081.13
Von Neumann,5077.99
Alekhin,5076.42
Cajori,5049.82
Slipher,5049.82
Saenger,5037.33
Shternberg,5004.62
Hedervari,4970.48
Moiseev Z,4964.29
Bouvard M,4958.1
Einthoven,4939.56
Chappell,4936.48
Jansky,4913.37
Jenner,4896.46
Vega,4873.46
Oenopides,4867.33
Deutsch,4845.94
Comstock,4830.68
Goclenius,4801.78
Olbers,4798.74
Avicenna,4794.19
Finsen,4792.67
Orlov,4785.09
Marconi,4777.52
Nearch,4763.9
Morse,4760.88
Bolyai L,4745.78
Pannekoek R,4741.25
Schiller H,4711.15
Malapert,4702.14
Denning R,4700.64
Lee M,4694.64
Boltzmann,4691.65
Mineur,4687.15
Obruchev,4679.66
Piccolomini F,4678.17
Racah,4631.91
Riccius,4614.08
Bettinus,4612.59
Subbotin,4594.8
Stevinus,4577.04
Pingre S,4575.57
Paraskevopoulos S,4563.75
Philolaus,4562.28
Young,4562.28
Popov,4556.38
Jackson,4553.43
Sarton,4546.07
Kircher,4526.95
Lavoisier,4499.09
Babbage D,4491.78
Rheita,4469.88
Parrot,4448.03
Gutenberg,4446.58
Nonius,4440.77
Comrie K,4439.31
Werner,4437.86
Hainzel,4433.51
O'Day,4411.76
Sirsalis E,4394.41
Mariotte,4391.53
Bhabha,4388.64
Eudoxus,4375.66
Pictet E,4364.15
Bohr,4362.71
Kamerlingh Onnes,4356.96
Espin,4354.08
Stratton,4318.25
Plutarch,4293.98
Davy Y,4289.71
Mercurius D,4278.32
De Sitter L,4266.95
Evans,4266.95
Icarus D,4261.27
Leavitt,4254.18
Danjon,4252.76
Balboa,4237.18
Milne Q,4237.18
Florey,4218.81
Faraday,4214.58
Florensky,4214.58
Helberg C,4214.58
Dziewulski,4196.27
Simpelius,4194.86
Henyey,4173.79
Anaximander,4169.59
Pontecoulant F,4165.38
Brashear P,4161.18
Omar Khayyam,4159.78
Doerfel,4158.38
Stormer,4156.98
Gregory Q,4152.78
Zach,4145.8
Capuanus P,4143
Evershed E,4143
Stadius,4137.42
Oresme U,4130.44
Fernelius,4129.05
Titius,4129.05
Le Monnier,4126.26
Raimond,4122.08
Hercules,4115.12
Green,4109.56
Danjon X,4102.61
Kirkwood,4087.35
Hecataeus B,4083.19
Konstantinov,4081.8
Lamb G,4074.88
Poncelet C,4063.82
Short,4062.44
Kostinskiy,4058.3
Segner,4048.64
Joule L,4045.88
Kiess,4041.75
Rheita E,4032.12
Rosseland,4023.87
Lyapunov,4012.89
Poncelet,4011.52
Crocco,4001.92
Pannekoek,4001.92
Glazenap P,3999.18
Gerard Q Inner,3977.31
Cori,3963.68
La Caille,3963.68
Sierpinski,3925.64
Barringer,3918.87
Zsigmondy,3917.52
Wilsing,3906.7
Zeno,3904
Zsigmondy S,3901.3
Planck Z,3899.95
St. John,3898.6
Jeans N,3891.86
Daedalus W,3886.47
Becvar,3882.43
Haskin,3875.7
Wilson,3875.7
Weiss,3874.36
Watt,3871.67
Polzunov,3870.33
Maraldi D,3864.95
Korolev C,3862.27
Krylov A,3859.58
Artem'ev,3851.54
Thiessen,3851.54
Buys-Ballot,3850.2
Jacobi,3836.81
Bronk,3820.78
Endymion J,3806.13
Agatharchides P,3796.81
Meshcherskiy,3791.5
Kugler,3782.21
Ricco,3776.91
Huggins,3771.61
Gadomski,3754.41
Keeler L,3753.09
Aitken C,3747.81
Chandler P,3745.17
Tseraskiy,3745.17
Winlock M,3732
Barbier,3717.53
Baco,3708.34
Evershed,3704.41
Schubert N,3684.78
Poinsot,3682.16
Gemma Frisius A,3680.86
Doppelmayer,3678.25
Duner,3676.94
Valier,3675.64
Kekule V,3661.3
Heinsius,3650.89
Reichenbach,3648.29
Boscovich P,3644.39
C. Mayer D,3644.39
Nother,3641.79
Alter,3632.71
Brisbane Z,3632.71
Hedin A,3622.35
Vesalius,3622.35
Lucretius,3617.17
Appleton,3614.59
Schlesinger B,3596.52
Pilatre,3586.21
Mercurius,3577.21
Rocca A,3570.79
Stofler J,3563.09
Wichmann R,3555.4
Fizeau S,3549
Petropavlovskiy,3547.72
Abbe,3536.22
Winlock,3529.84
Gill,3526.01
Gregory,3526.01
Dreyer,3518.37
Euclides P,3515.82
Nassau D,3515.82
Sechenov,3513.28
De Sitter,3512.01
Paracelsus P,3510.74
Erro,3506.92
Kidinnu E,3504.38
Lexell,3500.57
Leavitt Z,3486.62
Lyot H,3486.62
Chretien C,3485.36
Boguslawsky B,3471.44
Harlan,3468.92
Apianus,3467.66
Babcock H,3462.61
Lebedinskiy,3461.35
Hartmann,3448.74
Steinheil,3447.49
Adams,3446.23
Jeans U,3446.23
Bellinsgauzen,3441.2
Cleostratus,3441.2
Zucchius,3434.91
Dyson,3429.89
Stetson,3427.38
Lampland,3417.36
Fraunhofer J,3404.85
Becquerel,3394.86
Schjellerup,3389.87
Ventris N,3388.62
Macrobius,3386.13
Edison,3377.42
Euctemon,3374.93
Siedentopf,3374.93
Lowell,3368.72
Paracelsus E,3363.75
Hayn F,3355.07
Perkin,3347.64
Newton G,3346.4
Artamonov,3343.93
Carver,3343.93
Saenger B,3340.22
Teisserenc,3326.64
Newton A,3320.47
Santbech,3318.01
Abulfeda,3316.78
Bailly B,3314.32
Stromgren,3309.4
Anuchin,3305.71
Pirquet,3305.71
Nishina,3304.48
Oenopides R,3287.3
Mandel'shtam A,3281.18
Helberg,3279.96
Belopol'skiy,3276.29
Phillips D,3273.85
von Braun,3267.74
Ohm,3257.98
Bredikhin,3249.45
Krasovskiy,3248.24
Phillips W,3245.8
Gavrilov,3242.16
Nansen F,3242.16
Perrine S,3239.73
Kramers,3238.51
Moiseev,3234.87
Peirescius,3231.23
Reichenbach T,3227.59
Kinau R,3223.96
Miller,3211.85
Boole,3208.23
Schumacher,3204.6
Siedentopf G,3202.19
Ramsay,3200.98
Buisson,3199.78
Zsigmondy A,3191.34
Lilius,3188.93
Artem'ev G,3160.11
Paneth,3157.71
Vasco da Gama R,3155.32
Cusanus,3151.73
Rumford,3146.94
Olivier N,3139.78
Guericke,3137.39
Mendel V,3137.39
Bullialdus,3133.81
Dalton,3130.24
Cockcroft N,3125.48
Pavlov M,3124.29
Nusl,3117.15
Lauritsen Z,3115.96
Kulik,3102.9
Maestlin R,3098.16
Chamberlin,3096.98
Brashear,3067.45
Harvey,3046.29
Pawsey,3046.29
Pictet,3042.78
Ten Bruggencate,3042.78
Blanchinus,3036.92
Saha C,3036.92
Grissom,3027.56
Idel'son,3027.56
Drebbel E,3025.22
Pikel'ner S,3021.71
Capuanus,3012.38
Ibn Yunus,3012.38
Niepce,3012.38
Kramers C,3006.55
Cabeus B,3004.22
Buys-Ballot Q,2998.41
Dawson V,2998.41
Hanno,2994.92
Wilkins,2983.31
Watson,2982.15
Lindblad,2975.2
Romer P,2975.2
Cavalerius,2972.89
Kozyrev,2972.89
Fechner,2969.42
Chernyshev,2968.26
Sylvester,2964.8
Bonpland,2961.33
Comrie,2961.33
Lyman T,2961.33
Hippocrates,2960.18
Buys-Ballot Z,2956.72
Vestine T,2955.56
Furnerius V,2953.26
Chappell E,2952.1
Langley,2952.1
Olcott E,2946.34
Al-Khwarizmi B,2939.44
Carpenter,2939.44
Endymion B,2932.55
Mallet,2923.37
Milne K,2922.22
Mechnikov,2913.07
Lilius D,2907.35
Eratosthenes,2906.21
Einthoven M,2884.55
Vernadskiy X,2883.41
Street,2877.73
Rocca Q,2876.59
Wrottesley,2861.85
Daedalus C,2859.59
Damoiseau M,2852.8
Marinus B,2846.02
Birkhoff K,2844.89
Lagrange E,2832.49
Lade,2831.37
Schorr A,2825.74
Keeler V,2819
Atlas E,2816.76
Rowland M,2815.64
Lacchini,2813.39
Baade,2802.19
Murchison,2799.95
Lade A,2798.84
Langevin,2796.6
Firsov K,2793.25
Fraunhofer,2791.01
Hanno H,2789.9
Boussingault B,2787.67
Congreve,2775.41
Mendel J,2773.18
Cannon,2772.07
McLaughlin C,2768.74
Legendre D,2767.63
Simpelius A,2767.63
Hagen,2765.4
De Vries,2764.29
Hamilton,2757.64
Lagrange W,2750.99
Perrine G,2749.88
Hippalus,2747.67
Brisbane E,2746.56
Taruntius,2743.24
Bel'kovich A,2736.61
Backlund L,2728.89
Curtius D,2728.89
Boyle,2722.28
Lippmann L,2722.28
Bergstrand Q,2721.18
Lovelace,2714.58
Ulugh Beigh,2712.39
Leucippus,2711.29
Merrill,2706.9
Schliemann A,2704.7
Cassini,2694.84
Krasovskiy L,2693.75
Schneller,2693.75
Alden C,2687.19
Firmicus,2687.19
Haber,2685
Guillaume,2680.64
Korolev M,2680.64
Schaeberle,2679.55
Froelich,2678.46
Hase D,2674.1
Cassegrain,2670.83
Marinus,2658.86
Scoresby M,2655.61
Pentland,2648.02
Schubert G,2640.44
Eijkman,2638.27
De Forest,2627.47
Al-Khwarizmi,2626.39
Kohlschutter,2626.39
Behaim,2622.08
Jules Verne P,2619.93
Heraclitus D,2612.39
Lodygin,2611.32
Oresme V,2610.24
Ten Bruggencate Y,2609.17
Morozov F,2600.58
Kleymenov,2597.36
Simpelius D,2592.01
Franklin,2590.94
Belyaev,2588.8
Boole A,2586.66
Khvol'son,2586.66
Mallet J,2585.59
Chappe,2577.05
Vasco da Gama F,2575.98
Baldet,2573.85
Lambert R,2568.52
Pontanus,2563.2
Baillaud A,2557.88
Roberts R,2553.63
Karrer,2552.57
Hainzel A,2548.33
Geminus E,2544.09
Petrov,2539.85
Seidel,2534.56
Fizeau G,2533.51
Congreve Q,2530.34
Bi Sheng,2521.9
Patsaev K,2521.9
Patsaev,2519.79
Bunsen,2516.63
Dellinger B,2511.37
Arnold A,2507.17
Kidinnu,2504.02
Volterra,2504.02
Sanford,2502.97
Tsander B,2502.97
Donner,2498.77
Paschen K,2497.72
Fabricius A,2495.63
Kane,2489.34
Bartels,2488.3
Rowland Y,2486.21
Scoresby,2486.21
Priestley,2480.98
Pavlov V,2474.72
Bouvard N,2471.59
Quetelet,2469.51
Congreve U,2464.3
Strabo,2464.3
Moulton,2462.22
Laue U,2461.19
Azophi G,2457.03
Casatus A,2455.99
Jeans S,2455.99
Mechnikov D,2455.99
Thebit,2455.99
Saussure,2447.69
Gum,2446.66
Cannizzaro,2442.51
Epigenes,2442.51
Fowler A,2442.51
Paraskevopoulos H,2442.51
Dryden,2436.31
De Moraes,2432.17
Racah K,2430.11
Aristillus,2428.05
Burckhardt,2427.02
Rocca Z,2427.02
Hagecius A,2423.92
Maclaurin,2423.92
Balboa B,2415.69
Abul Wafa,2408.49
Abel L,2403.36
Mandel'shtam R,2392.09
Dante C,2391.07
Blazhko R,2388
Harriot A,2388
Zelinskiy,2384.94
Prager,2379.84
Von der Pahlen,2378.82
Lehmann,2374.74
Stokes,2374.74
Dante,2372.7
Maunder,2369.65
Ritz,2366.6
Lane,2365.58
Tiselius,2364.56
Darwin B,2363.55
Hubble C,2353.4
Deluc A,2349.35
Segers M,2343.28
Busching,2338.23
Pizzetti,2336.21
Bjerknes E,2334.19
Spencer Jones W,2334.19
Lamarck A,2329.15
Wan-Hoo,2317.08
Evershed D,2316.07
Stofler D,2313.06
Ginzel,2312.06
Challis,2310.05
Wilsing V,2306.04
Kaiser,2304.04
Lindenau,2297.03
Bolyai W,2292.04
Heymans F,2287.05
Parsons D,2285.06
Milne M,2283.06
Nefed'ev,2283.06
Galois A,2280.08
Beijerinck V,2278.08
Garavito Y,2278.08
Widmannstatten,2277.09
Sumner,2276.1
Cailleux,2274.11
Harriot,2266.16
Moore,2255.27
Cavendish,2253.29
Beals,2250.32
Romer R,2246.37
Denning Y,2236.51
Wexler,2233.56
Kant D,2229.63
Pentland DA,2229.63
Pavlov T,2225.7
Hayn A,2217.85
Barnard D,2213.93
Bell T,2210.02
Langemak X,2210.02
Timiryazev,2205.13
Clark,2201.23
Schorr,2199.27
Gerasimovich R,2198.3
Furnerius F,2196.35
Amici,2193.43
Nasireddin,2189.53
Agatharchides,2188.56
Seyfert A,2187.59
Bridgman F,2185.64
Schubert,2184.67
Anaxagoras,2180.79
Fleming W,2178.85
Cooper,2177.88
Chevallier,2174
Shoemaker,2173.03
Cavalerius D,2168.19
Wegener W,2168.19
Chaffee,2166.26
Fourier,2148.89
Mees,2146.97
Delambre,2141.2
Alter W,2139.28
Vesalius D,2139.28
Porter,2138.32
Timiryazev S,2136.4
Anuchin Q,2135.44
Haworth,2134.48
Hommel C,2133.52
Buch,2123.95
Regnault,2123.95
Reaumur,2118.21
Lauritsen,2117.26
Anaximenes G,2110.58
Meggers,2109.63
Krafft,2108.68
Blazhko,2104.87
Neison,2097.27
Firsov,2094.42
Douglass,2089.68
Nobel,2082.11
Stromgren A,2077.39
Borman,2067.95
Beaumont,2065.13
Zernike,2064.19
Apollonius,2062.31
Brunner,2062.31
Moulton H,2061.37
Saha N,2061.37
Titius Q,2060.43
Biela Z,2059.49
Lavoisier E,2052.92
Nagaoka,2051.04
Nusl Y,2047.29
Einstein A,2045.42
Chacornac,2041.68
Belyaev Q,2027.68
Purkyne,2027.68
Boss,2019.31
McKellar,2015.59
Simpelius B,2015.59
Leuschner,2013.74
Pavlov P,2010.03
Helmholtz F,2000.77
Hevesy,1999.85
Rutherfurd,1998.92
Mohorovicic,1998
Curie G,1996.15
Saha J,1994.31
Mouchez A,1991.54
Playfair,1989.7
Pasteur Y,1986.93
Rowland J,1986.93
Krylov,1985.09
Parenago W,1982.33
Wexler U,1979.58
Schjellerup R,1977.74
Al-Khwarizmi H,1974.99
Lebedinskiy P,1973.15
Dugan,1968.57
Dyson B,1967.65
Cabannes Q,1966.74
Meton F,1964.91
Cardanus,1961.25
Eichstadt,1961.25
Oberth,1956.68
Pallas,1955.77
Larmor Z,1943.02
Voskresenskiy,1943.02
Klaproth H,1939.38
Milankovic E,1936.66
Szilard H,1932.13
Cleostratus F,1929.41
Neander,1929.41
Brianchon A,1927.6
Schubert X,1925.79
Fitzgerald W,1924.88
Galois L,1923.08
Mariotte Z,1923.08
Roberts N,1923.08
Riedel,1922.17
Plaskett V,1914.05
Millikan R,1908.64
Champollion,1906.85
Mobius,1905.95
Love G,1903.25
Hertzsprung S,1900.55
Hirayama Y,1899.66
Evdokimov,1898.76
Perel'man,1897.86
Edison T,1893.38
Simpelius C,1890.69
Lacroix G,1888.9
Hilbert E,1885.33
Opelt,1885.33
Gernsback H,1881.75
Kapteyn,1878.18
Breislak,1877.29
Stormer C,1877.29
Desargues B,1874.62
Cysatus E,1872.84
Niepce F,1869.28
Riemann J,1868.39
Berzelius,1867.5
Bayer,1865.72
Shaler,1862.17
Sirsalis A,1861.28
Mitra J,1859.51
Condorcet P,1855.96
Manilius E,1853.31
Hertzsprung D,1846.24
Rosenberger A,1844.47
Crookes,1842.7
Goddard C,1837.42
Street M,1837.42
Bjerknes,1836.54
Dobrovol'skiy D,1836.54
Gylden,1833.89
Capella,1832.14
Shirakatsi,1832.14
Dubyago,1831.26
Crocco R,1829.5
Sisakyan D,1829.5
Paraskevopoulos Y,1828.62
Mee H,1825.11
Rydberg,1823.35
Evdokimov G,1822.48
Glaisher W,1821.6
Curie C,1818.97
Van der Waals K,1817.22
Cabannes M,1812.85
Clavius M,1811.1
Obruchev M,1811.1
Pikel'ner Y,1805.86
Paneth A,1804.99
Cysatus,1800.63
Almanon,1799.76
Descartes,1797.15
Stark,1796.28
Ventris C,1795.41
Petzval C,1794.55
Zollner,1793.68
Lenard,1790.2
Proctor,1789.34
Reimarus,1787.6
Holden,1785.87
Razumov C,1784.13
Henderson G,1783.27
Seneca,1783.27
Ingalls G,1782.4
Azophi,1780.67
Stoney,1778.08
Jansky F,1776.35
Main,1771.17
Van Gent P,1770.31
Tsinger W,1764.27
Thomson J,1762.55
Boyle Z,1760.83
Bernoulli,1759.97
Damoiseau A,1759.11
Parry,1758.26
Maginus C,1757.4
Dirichlet,1754.82
Evershed S,1754.82
Gernsback,1751.39
Becvar J,1747.96
Siedentopf H,1746.25
Hilbert G,1743.69
Levi-Civita S,1738.56
Bel'kovich K,1736.85
McNally,1736.85
Lodygin F,1732.59
Quetelet T,1732.59
van't Hoff N,1730.89
Stebbins C,1727.48
Rost,1721.54
Kulik J,1720.69
Vasco da Gama C,1719.84
Catharina P,1717.29
De Moraes T,1716.45
Olcott M,1710.52
Evershed C,1708.83
Rosenberger C,1706.3
Balboa A,1705.45
G. Bond C,1704.61
Rosenberger D,1698.7
Shi Shen,1693.65
Heymans,1687.77
Krusenstern,1686.93
Boguslawsky K,1686.09
Van Maanen,1685.26
Campanus,1684.42
Schuster Q,1681.9
Mercator,1676.88
Dewar,1676.05
Foster S,1672.7
Adams D,1671.87
Donner T,1667.7
Ellerman,1667.7
Ginzel H,1663.53
van Rhijn,1663.53
Prinz,1661.03
McMath J,1657.71
Reiner R,1656.88
Phocylides C,1653.56
Walker W,1651.07
Krasovskiy H,1649.41
Newton B,1648.58
Byrgius S,1645.27
Cruger,1645.27
Engel'gardt C,1644.45
Garavito Q,1644.45
Charlier Z,1643.62
Longomontanus B,1641.14
Chauvenet C,1639.49
Vil'ev,1636.19
Daguerre,1632.89
Henyey U,1627.13
Deluc,1624.67
Repsold B,1623.02
Zwicky S,1620.56
Mitra A,1618.92
Billy,1614.83
Kies,1612.37
Barrow K,1610.74
Raspletin,1610.74
Maupertuis,1608.28
Sklodowska A,1608.28
Chaucer,1607.47
Sasserides A,1607.47
Nother E,1603.39
Borda,1600.94
Birkhoff Q,1600.13
Schwarzschild L,1599.31
Lampland K,1596.87
Frost N,1590.37
Gutenberg C,1585.51
Hutton,1582.27
Cook,1581.46
Teisserenc C,1581.46
van't Hoff F,1581.46
Young D,1577.42
Lobachevskiy M,1574.19
Gullstrand,1572.58
Schiller C,1571.77
Burckhardt F,1570.16
